ACCOUNT_NUMBER,DUEL_FUEL,CAMPAIGN_NAME,CREATED_AT
A-D3B171E7,FALSE,Low Standing Charge Trial,2026-06-04 08:41:12.431
A-2136C446,FALSE,Low Standing Charge Trial,2026-06-03 12:36:13.477
A-4C1BDD7C,FALSE,Low Standing Charge Trial,2026-06-04 08:47:37.075
A-4CA94851,TRUE,Low Standing Charge Trial,2026-06-04 11:03:28.911
A-540D0C5B,TRUE,Low Standing Charge Trial,2026-06-04 10:57:01.420
A-DF87FF9D,FALSE,Low Standing Charge Trial,2026-06-03 10:00:04.632
A-A0F81A96,FALSE,Low Standing Charge Trial,2026-06-04 08:43:52.765
A-F4421268,TRUE,Low Standing Charge Trial,2026-06-03 12:34:16.829
